condition,src,plateau_auc_low,dist_to_source,l0,ref_at_dist,residual
cooc_full,132,0.20481,67.755,8,0.11666,0.08815
cooc_full,133,0.20604,67.759,16,0.11666,0.08938
cooc_full,134,0.1456,64.051,6,0.12076,0.02484
cooc_full,135,0.12364,68.102,19,0.11629,0.00735
cooc_full,136,0.17066,67.831,43,0.11658,0.05408
cooc_full,137,0.08037,74.739,12,0.10951,-0.02914
cooc_full,138,0.5987,72.97,74,0.11125,0.48744
cooc_full,139,0.53497,96.396,8,0.09095,0.44402
cooc_full,140,0.19536,60.514,12,0.1249,0.07046
cooc_full,141,0.19532,58.06,22,0.12763,0.0677
cooc_full,142,0.10309,61.075,24,0.12423,-0.02114
cooc_full,143,0.16753,58.145,21,0.12753,0.04
cooc_full,144,0.19007,77.414,85,0.10694,0.08312
cooc_full,145,0.09083,73.082,35,0.11114,-0.02031
cooc_full,146,0.12842,77.024,18,0.10731,0.0211
cooc_full,147,0.18757,75.493,12,0.10878,0.0788
cooc_full,148,0.09874,76.358,58,0.10795,-0.00921
cooc_full,149,0.17356,67.167,11,0.1173,0.05626
cooc_full,150,0.21635,57.49,37,0.12826,0.08809
cooc_full,151,0.11828,78.494,12,0.10593,0.01235
cooc_full,152,0.10254,63.02,10,0.12194,-0.0194
cooc_full,153,0.16216,73.013,63,0.11121,0.05094
cooc_full,154,0.31564,88.375,44,0.09729,0.21835
cooc_full,155,0.18876,66.556,94,0.11796,0.0708
cooc_full,156,0.16177,78.86,36,0.10559,0.05618
cooc_full,157,0.93049,85.148,82,0.1,0.83049
cooc_full,158,0.11087,67.224,81,0.11723,-0.00637
cooc_full,159,0.26123,73.891,66,0.11034,0.15089
cooc_full,160,0.06619,48.074,12,0.13969,-0.0735
cooc_full,161,0.29339,57.959,31,0.12774,0.16565
cooc_full,162,0.11779,59.561,16,0.12599,-0.00821
cooc_full,163,0.19954,78.01,32,0.10639,0.09315
cooc_full,164,0.15899,69.161,4,0.11516,0.04383
cooc_full,165,0.11847,68.874,18,0.11547,0.003
cooc_full,166,0.11829,74.373,20,0.10987,0.00842
cooc_full,167,0.25982,79.341,47,0.10515,0.15467
cooc_full,168,0.19062,63.609,27,0.12126,0.06935
cooc_full,169,0.11079,63.86,14,0.12098,-0.01018
cooc_full,170,0.07525,78.509,10,0.10592,-0.03067
cooc_full,171,0.15535,75.428,32,0.10884,0.04651
cooc_full,172,0.19,48.189,25,0.13954,0.05046
cooc_full,173,0.41485,82.107,34,0.10265,0.3122
cooc_full,174,0.20157,60.468,34,0.12496,0.07661
cooc_full,175,0.14261,76.437,7,0.10787,0.03474
cooc_full,176,0.24538,73.037,34,0.11119,0.13419
cooc_full,177,0.18073,88.31,41,0.09734,0.08339
cooc_full,178,0.14824,54.67,25,0.13147,0.01677
cooc_full,179,0.13361,39.464,13,0.15231,-0.0187
cooc_full,180,0.17323,68.497,22,0.11587,0.05736
cooc_full,181,0.11591,70.404,21,0.11386,0.00204
cooc_full,182,0.16451,64.098,12,0.12071,0.0438
cooc_full,183,0.21742,73.988,81,0.11025,0.10717
cooc_full,184,0.03317,50.945,8,0.13598,-0.10282
cooc_full,185,0.10182,71.788,11,0.11245,-0.01063
