condition,src,plateau_auc_low,dist_to_source,l0,ref_at_dist,residual
naive,157,0.06887,66.288,14,0.12121,-0.05234
naive,158,0.07676,41.808,13,0.1517,-0.07495
naive,159,0.06928,65.645,18,0.12192,-0.05264
naive,160,0.07202,63.274,37,0.12456,-0.05254
naive,161,0.13153,51.618,24,0.1381,-0.00657
naive,162,0.05886,56.64,18,0.13211,-0.07325
naive,163,0.06106,65.245,16,0.12235,-0.06129
naive,164,0.06552,64.695,25,0.12296,-0.05744
naive,165,0.08479,56.357,37,0.13243,-0.04764
naive,166,0.04485,70.228,43,0.11706,-0.07221
naive,167,0.05702,59.994,4,0.12839,-0.07137
naive,168,0.08393,58.656,84,0.12985,-0.04592
naive,169,0.05013,52.862,59,0.13656,-0.08644
naive,170,0.06559,52.464,8,0.13705,-0.07146
naive,171,0.08165,67.371,63,0.12005,-0.0384
naive,172,0.06442,36.495,36,0.16047,-0.09605
naive,173,0.09654,65.6,13,0.12196,-0.02542
naive,174,0.03835,66.082,38,0.12144,-0.08309
naive,175,0.04726,61.198,26,0.12697,-0.07971
naive,176,0.07673,55.495,15,0.13343,-0.0567
naive,177,0.02852,89.99,15,0.09921,-0.07069
naive,178,0.04222,53.136,34,0.13623,-0.09401
naive,179,0.06187,40.698,44,0.15344,-0.09157
naive,180,0.0756,83.615,85,0.1045,-0.02889
naive,181,0.03559,70.036,59,0.11725,-0.08167
naive,182,0.10091,64.764,27,0.12289,-0.02198
naive,183,0.05291,52.179,18,0.1374,-0.08449
naive,184,0.03443,43.326,28,0.1494,-0.11497
naive,185,0.06322,69.172,63,0.11815,-0.05493
naive,186,0.05847,81.999,53,0.1059,-0.04743
naive,187,0.09046,55.666,35,0.13323,-0.04276
naive,188,0.03381,64.919,20,0.12272,-0.08891
naive,189,0.06989,76.494,95,0.1109,-0.04101
naive,190,0.05106,63.5,105,0.12431,-0.07325
naive,191,0.0515,63.372,11,0.12445,-0.07295
naive,192,0.12454,60.232,39,0.12811,-0.00357
naive,193,0.07215,63.84,84,0.12392,-0.05178
naive,194,0.05413,73.514,53,0.11376,-0.05963
naive,195,0.05675,75.126,13,0.1122,-0.05545
naive,196,0.0968,54.188,32,0.13496,-0.03816
naive,197,0.06535,65.355,17,0.12223,-0.05689
naive,198,0.06805,56.907,12,0.1318,-0.06375
naive,199,0.09703,42.773,23,0.15023,-0.0532
sparse_match,100,0.1181,72.049,91,0.11521,0.00288
sparse_match,101,0.07837,65.014,39,0.12261,-0.04424
sparse_match,102,0.06549,59.974,31,0.12842,-0.06293
sparse_match,103,0.0519,72.747,35,0.11452,-0.06262
sparse_match,104,0.05478,66.333,25,0.12116,-0.06639
sparse_match,105,0.04077,80.164,7,0.10753,-0.06676
sparse_match,106,0.06897,53.942,27,0.13526,-0.06629
sparse_match,107,0.11052,58.154,10,0.13041,-0.01988
sparse_match,108,0.12143,62.515,24,0.12543,-0.00401
sparse_match,109,0.0443,60.08,16,0.12829,-0.084
sparse_match,110,0.06007,54.137,71,0.13502,-0.07495
sparse_match,111,0.12831,59.872,25,0.12853,-0.00021
sparse_match,112,0.05575,61.213,92,0.12695,-0.0712
sparse_match,113,0.03884,73.289,81,0.11399,-0.07514
sparse_match,114,0.05572,43.15,5,0.14966,-0.09394
sparse_match,115,0.06442,57.595,81,0.13103,-0.0666
sparse_match,116,0.06463,60.785,60,0.12745,-0.06283
sparse_match,117,0.09648,59.403,96,0.12903,-0.03255
sparse_match,118,0.071,40.044,26,0.15448,-0.08349
sparse_match,119,0.11403,79.681,12,0.10796,0.00607
sparse_match,120,0.10359,68.193,51,0.11917,-0.01559
sparse_match,121,0.04847,65.839,96,0.1217,-0.07323
sparse_match,122,0.14337,62.947,37,0.12494,0.01844
sparse_match,123,0.04011,59.923,42,0.12847,-0.08836
sparse_match,124,0.12073,57.806,61,0.13079,-0.01006
sparse_match,125,0.07261,66.75,19,0.12071,-0.04811
sparse_match,126,0.10122,49.262,22,0.14112,-0.03989
sparse_match,127,0.06942,64.058,134,0.12368,-0.05426
sparse_match,128,0.05293,86.351,273,0.10218,-0.04924
sparse_match,129,0.12003,59.299,17,0.12915,-0.00912
sparse_match,130,0.1532,65.306,41,0.12229,0.03091
sparse_match,131,0.07324,64.984,22,0.12264,-0.0494
sparse_match,132,0.04228,69.874,39,0.11742,-0.07514
sparse_match,133,0.04736,68.113,27,0.11926,-0.0719
sparse_match,134,0.06517,54.048,108,0.13513,-0.06996
sparse_match,135,0.03693,62.822,23,0.12508,-0.08815
sparse_match,136,0.07484,68.535,78,0.11881,-0.04397
sparse_match,137,0.03321,67.667,14,0.11973,-0.08652
sparse_match,138,0.13582,61.13,15,0.12704,0.00877
sparse_match,139,0.10585,65.721,32,0.12183,-0.01598
sparse_match,140,0.07731,64.551,32,0.12312,-0.04581
sparse_match,141,0.07632,50.566,36,0.13943,-0.06311
sparse_match,142,0.10186,59.225,28,0.12923,-0.02736
sparse_match,143,0.07525,59.399,16,0.12904,-0.05379
sparse_match,144,0.07168,68.503,24,0.11885,-0.04717
sparse_match,145,0.04569,76.912,93,0.11051,-0.06483
sparse_match,146,0.04731,71.9,25,0.11536,-0.06805
sparse_match,147,0.09516,69.557,32,0.11775,-0.02259
sparse_match,148,0.07637,69.945,12,0.11735,-0.04097
sparse_match,149,0.04439,55.329,27,0.13362,-0.08923
sparse_match,150,0.06509,46.973,52,0.14418,-0.07909
sparse_match,151,0.08936,69.812,25,0.11748,-0.02812
sparse_match,152,0.07344,60.745,23,0.1275,-0.05406
sparse_match,153,0.07522,74.468,691,0.11284,-0.03762
sparse_match,154,0.04797,65.89,15,0.12165,-0.07367
sparse_match,155,0.0984,41.61,63,0.15201,-0.05361
