seed,model,layer,pair,class_a,class_b,rep,idx_a,idx_b,lin_dev,max_jump
0,pre,d_h2,13,0,7,1,269,83,0.021194,1.136743
0,pre,d_h2,14,0,8,0,101,61,0.013995,1.099372
0,pre,d_h2,15,0,8,1,271,233,0.010895,1.038688
0,pre,d_h2,16,0,9,0,126,7,0.046432,1.261452
0,pre,d_h2,17,0,9,1,294,105,0.045698,1.172616
0,pre,d_h2,18,1,2,0,14,35,0.0116,1.058769
0,pre,d_h2,19,1,2,1,107,174,0.02574,1.153117
0,pre,d_h2,20,1,3,0,29,30,0.007141,1.078418
0,pre,d_h2,21,1,3,1,135,158,0.011421,1.047635
0,pre,d_h2,22,1,4,0,31,6,0.011077,1.06706
0,pre,d_h2,23,1,4,1,137,95,0.009609,1.089954
0,pre,d_h2,24,1,5,0,37,15,0.001975,1.033777
0,pre,d_h2,25,1,5,1,143,153,0.012349,1.058519
0,pre,d_h2,26,1,6,0,39,21,0.005701,1.054066
0,pre,d_h2,27,1,6,1,145,131,0.018682,1.109868
0,pre,d_h2,28,1,7,0,40,17,0.021855,1.131892
0,pre,d_h2,29,1,7,1,154,86,0.021173,1.13253
0,pre,d_h2,30,1,8,0,46,84,0.007334,1.144211
0,pre,d_h2,31,1,8,1,168,242,0.021169,1.130426
0,pre,d_h2,32,1,9,0,57,9,0.018386,1.109612
0,pre,d_h2,33,1,9,1,176,108,0.01916,1.119339
0,pre,d_h2,34,2,3,0,43,32,0.007361,1.066935
0,pre,d_h2,35,2,3,1,199,173,0.04173,1.237152
0,pre,d_h2,36,2,4,0,47,19,0.04514,1.164138
0,pre,d_h2,37,2,4,1,208,103,0.040526,1.128879
0,pre,d_h2,38,2,5,0,72,23,0.029308,1.161254
0,pre,d_h2,39,2,5,1,221,155,0.024716,1.10102
0,pre,d_h2,40,2,6,0,77,22,0.01517,1.084861
0,pre,d_h2,41,2,6,1,222,138,0.03999,1.275424
0,pre,d_h2,42,2,7,0,82,26,0.07728,1.427209
0,pre,d_h2,43,2,7,1,225,97,0.013195,1.080316
0,pre,d_h2,44,2,8,0,106,110,0.022054,1.099612
0,pre,d_h2,45,2,8,1,236,257,0.028427,1.132624
0,pre,d_h2,46,2,9,0,119,12,0.027067,1.107718
0,pre,d_h2,47,2,9,1,237,113,0.01642,1.090434
0,pre,d_h2,48,3,4,0,51,24,0.072008,1.423466
0,pre,d_h2,49,3,4,1,200,109,0.059797,1.308622
0,pre,d_h2,50,3,5,0,63,45,0.010334,1.037987
0,pre,d_h2,51,3,5,1,205,162,0.009728,1.04804
0,pre,d_h2,52,3,6,0,68,50,0.047116,1.194428
0,pre,d_h2,53,3,6,1,213,140,0.016421,1.067075
0,pre,d_h2,54,3,7,0,76,34,0.00835,1.092446
0,pre,d_h2,55,3,7,1,216,111,0.018343,1.080711
0,pre,d_h2,56,3,8,0,87,128,0.015045,1.098877
0,pre,d_h2,57,3,8,1,230,260,0.006468,1.073879
0,pre,d_h2,58,3,9,0,90,16,0.021401,1.064417
0,pre,d_h2,59,3,9,1,231,118,0.024136,1.101971
0,pre,d_h2,60,4,5,0,33,52,0.013343,1.120094
0,pre,d_h2,61,4,5,1,116,165,0.022355,1.125616
0,pre,d_h2,62,4,6,0,42,54,0.004409,1.040304
0,pre,d_h2,63,4,6,1,117,156,0.006908,1.045746
0,pre,d_h2,64,4,7,0,48,36,0.02672,1.12467
0,pre,d_h2,65,4,7,1,121,114,0.02405,1.091935
0,pre,d_h2,66,4,8,0,49,134,0.002223,1.062185
0,pre,d_h2,67,4,8,1,139,266,0.019064,1.100636
0,pre,d_h2,68,4,9,0,56,20,0.002882,1.029181
0,pre,d_h2,69,4,9,1,159,125,0.012356,1.065266
0,pre,d_h2,70,5,6,0,59,66,0.005949,1.063699
0,pre,d_h2,71,5,6,1,182,161,0.008904,1.101938
0,pre,d_h2,72,5,7,0,102,41,0.040679,1.26671
0,pre,d_h2,73,5,7,1,187,122,0.06541,1.309883
0,pre,d_h2,74,5,8,0,120,146,0.013937,1.082528
0,pre,d_h2,75,5,8,1,207,268,0.009725,1.084632
0,pre,d_h2,76,5,9,0,127,58,0.02353,1.075396
0,pre,d_h2,77,5,9,1,211,150,0.002356,1.029569
0,pre,d_h2,78,6,7,0,88,60,0.023377,1.164277
0,pre,d_h2,79,6,7,1,197,124,0.042392,1.163234
0,pre,d_h2,80,6,8,0,91,177,0.016015,1.089233
0,pre,d_h2,81,6,8,1,201,277,0.007706,1.046692
0,pre,d_h2,82,6,9,0,98,62,0.043483,1.210145
0,pre,d_h2,83,6,9,1,217,151,0.006917,1.06708
0,pre,d_h2,84,7,8,0,70,179,0.002098,1.051635
0,pre,d_h2,85,7,8,1,141,290,0.019763,1.088107
0,pre,d_h2,86,7,9,0,75,73,0.006541,1.06377
0,pre,d_h2,87,7,9,1,144,185,0.00672,1.03423
0,pre,d_h2,88,8,9,0,184,78,0.030513,1.110042
0,pre,d_h2,89,8,9,1,338,193,0.057143,1.270921
0,pre,d_h3,0,0,1,0,10,2,0.120589,1.55379
0,pre,d_h3,1,0,1,1,183,94,0.062145,1.400546
0,pre,d_h3,2,0,2,0,13,1,0.018735,1.18371
0,pre,d_h3,3,0,2,1,188,172,0.037901,1.186084
0,pre,d_h3,4,0,3,0,25,18,0.046827,1.271015
0,pre,d_h3,5,0,3,1,192,142,0.055037,1.426539
0,pre,d_h3,6,0,4,0,28,4,0.086856,1.419262
0,pre,d_h3,7,0,4,1,194,85,0.032014,1.228264
0,pre,d_h3,8,0,5,0,55,8,0.035636,1.214603
0,pre,d_h3,9,0,5,1,215,152,0.075641,1.29593
0,pre,d_h3,10,0,6,0,69,11,0.029065,1.150136
0,pre,d_h3,11,0,6,1,246,130,0.042233,1.22119
0,pre,d_h3,12,0,7,0,71,0,0.135384,1.719903
0,pre,d_h3,13,0,7,1,269,83,0.047904,1.302308
0,pre,d_h3,14,0,8,0,101,61,0.017199,1.18421
0,pre,d_h3,15,0,8,1,271,233,0.040782,1.145586
0,pre,d_h3,16,0,9,0,126,7,0.071674,1.419127
0,pre,d_h3,17,0,9,1,294,105,0.069959,1.333427
0,pre,d_h3,18,1,2,0,14,35,0.012961,1.127803
0,pre,d_h3,19,1,2,1,107,174,0.026299,1.183325
0,pre,d_h3,20,1,3,0,29,30,0.035264,1.268911
0,pre,d_h3,21,1,3,1,135,158,0.006561,1.088518
0,pre,d_h3,22,1,4,0,31,6,0.022374,1.312664
0,pre,d_h3,23,1,4,1,137,95,0.007349,1.087368
0,pre,d_h3,24,1,5,0,37,15,0.007154,1.15492
0,pre,d_h3,25,1,5,1,143,153,0.006589,1.153868
0,pre,d_h3,26,1,6,0,39,21,0.02561,1.170087
0,pre,d_h3,27,1,6,1,145,131,0.020786,1.221752
0,pre,d_h3,28,1,7,0,40,17,0.013278,1.179463
0,pre,d_h3,29,1,7,1,154,86,0.024555,1.406547
0,pre,d_h3,30,1,8,0,46,84,0.049974,1.718634
0,pre,d_h3,31,1,8,1,168,242,0.022808,1.218581
0,pre,d_h3,32,1,9,0,57,9,0.041605,1.273102
0,pre,d_h3,33,1,9,1,176,108,0.021484,1.216137
0,pre,d_h3,34,2,3,0,43,32,0.008093,1.097238
0,pre,d_h3,35,2,3,1,199,173,0.073238,1.414242
0,pre,d_h3,36,2,4,0,47,19,0.064622,1.374841
0,pre,d_h3,37,2,4,1,208,103,0.04615,1.376892
0,pre,d_h3,38,2,5,0,72,23,0.039865,1.276249
0,pre,d_h3,39,2,5,1,221,155,0.045148,1.258388
0,pre,d_h3,40,2,6,0,77,22,0.034348,1.208007
0,pre,d_h3,41,2,6,1,222,138,0.050286,1.360843
0,pre,d_h3,42,2,7,0,82,26,0.11251,1.619871
0,pre,d_h3,43,2,7,1,225,97,0.029796,1.144388
0,pre,d_h3,44,2,8,0,106,110,0.025161,1.143044
0,pre,d_h3,45,2,8,1,236,257,0.025745,1.15066
0,pre,d_h3,46,2,9,0,119,12,0.057482,1.338568
0,pre,d_h3,47,2,9,1,237,113,0.034995,1.176966
0,pre,d_h3,48,3,4,0,51,24,0.104373,1.569092
0,pre,d_h3,49,3,4,1,200,109,0.082361,1.450619
0,pre,d_h3,50,3,5,0,63,45,0.024374,1.113686
0,pre,d_h3,51,3,5,1,205,162,0.011508,1.102656
0,pre,d_h3,52,3,6,0,68,50,0.058577,1.290344
0,pre,d_h3,53,3,6,1,213,140,0.017002,1.097208
0,pre,d_h3,54,3,7,0,76,34,0.011508,1.15357
0,pre,d_h3,55,3,7,1,216,111,0.027354,1.111436
0,pre,d_h3,56,3,8,0,87,128,0.012374,1.577418
0,pre,d_h3,57,3,8,1,230,260,0.009579,1.155424
0,pre,d_h3,58,3,9,0,90,16,0.051552,1.268035
0,pre,d_h3,59,3,9,1,231,118,0.07157,1.303089
0,pre,d_h3,60,4,5,0,33,52,0.01565,1.15447
0,pre,d_h3,61,4,5,1,116,165,0.025633,1.158595
0,pre,d_h3,62,4,6,0,42,54,0.011506,1.143795
0,pre,d_h3,63,4,6,1,117,156,0.010865,1.096523
0,pre,d_h3,64,4,7,0,48,36,0.053339,1.233409
0,pre,d_h3,65,4,7,1,121,114,0.053008,1.336539
0,pre,d_h3,66,4,8,0,49,134,0.010511,1.165897
0,pre,d_h3,67,4,8,1,139,266,0.02675,1.16778
0,pre,d_h3,68,4,9,0,56,20,0.018788,1.138479
0,pre,d_h3,69,4,9,1,159,125,0.005213,1.180746
0,pre,d_h3,70,5,6,0,59,66,0.017182,1.163447
0,pre,d_h3,71,5,6,1,182,161,0.03138,1.24228
0,pre,d_h3,72,5,7,0,102,41,0.066442,1.356063
